Region,Country,ProvState,Station,WMO.,Lat,Long,Elev,StdP,TZ,TZCode,ColdestMonth,DB990,WS_DB996,WD_DB996,HottestMonth,DBR,DB010,WB_DB010,WS_DB004,WD_DB004,taub,taud
6,SJM,,JAN MAYEN,10010,70.93,-8.67,9,101.22,-1,AZR,2,-14.9,12,340,8,2.4,8.6,7.5,4.8,90,0.323,2.458
6,SJM,,HORNSUND,10030,77,15.5,12,101.18,1,EUW,3,-21.3,4.4,90,7,2.8,7.1,5.4,5.7,90,0.321,2.302
6,SJM,,NY-ALESUND,10070,78.92,11.93,8,101.23,1,EUW,3,-22.5,2.9,130,7,2.8,8.6,6.1,3.7,110,0.298,2.325
6,SJM,,SVALBARD LUFTHAVN,10080,78.25,15.47,29,100.98,1,EUW,2,-28.2,2.3,120,7,3.4,10.2,7.1,5.1,260,0.309,2.258
6,NOR,,ANDOYA,10100,69.3,16.13,13,101.17,1,EUW,2,-8.8,4.5,180,7,4.4,17,13.2,4,170,0.335,2.415
6,NOR,,HEKKINGEN FYR,10150,69.6,17.83,14,101.16,1,EUW,2,-8.1,9.9,160,7,3.8,17.4,13.6,5.5,160,0.325,2.419
6,NOR,,BARDUFOSS,10230,69.07,18.53,79,100.38,1,EUW,1,-23.2,1,200,7,7.4,21.3,14.1,2.8,280,0.315,2.374
6,NOR,,TROMSO/LANGNES,10250,69.68,18.92,10,101.2,1,EUW,2,-11.5,1.7,60,7,5.8,18.2,13.4,3.5,0,0.316,2.383
6,NOR,,TROMSO,10260,69.65,18.93,115,99.95,1,EUW,2,-10.3,2.1,190,7,6.6,19.2,13.6,2.8,180,0.312,2.384
6,SJM,,BJORNOYA,10280,74.52,19,18,101.11,1,EUW,2,-19.7,7.7,10,8,2.7,9.4,8.5,7.3,170,0.326,2.41
6,NOR,,TORSVAG FYR,10330,70.25,19.5,24,101.04,1,EUW,2,-6,6.9,140,7,4.3,17.3,12.9,3.6,180,0.341,2.376
6,NOR,,KAUTOKEINO,10470,69,23.03,307,97.69,1,EUW,1,-32.5,0.4,180,7,8.1,20.5,13.9,3.4,180,0.31,2.414
6,NOR,,ALTA LUFTHAVN,10490,69.98,23.37,3,101.29,1,EUW,2,-19,3,210,7,5.8,20.2,14.5,4.1,150,0.319,2.404
6,NOR,,HAMMERFEST AP,10520,70.68,23.68,79,100.38,1,EUW,2,-12.2,3.4,60,7,5.4,19.2,13.5,3.7,210,0.315,2.428
6,NOR,,FRUHOLMEN FYR,10550,71.1,23.98,14,101.16,1,EUW,2,-8.2,9.9,140,8,3,15.8,12.8,5.4,150,0.331,2.418
6,NOR,,BANAK,10590,70.07,24.98,8,101.23,1,EUW,2,-21.8,2.1,180,7,7.5,20.2,13.6,5.1,190,0.317,2.39
6,SJM,,HOPEN,10620,76.5,25.07,10,101.2,1,EUW,2,-26.6,5.4,40,8,2.1,6.3,5.5,6,210,0.324,2.396
6,NOR,,SLETTNES FYR,10780,71.1,28.22,10,101.2,1,EUW,2,-10.8,7.4,220,8,3.4,15.5,12.5,5.2,180,0.316,2.463
